twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam
.493,.294,21,13,3,7,29,.813,101,8,240,Portland Trail Blazers
.532,.476,20,14,5,9,30,.640,108,9,240,San Antonio Spurs
.566,.462,27,22,3,8,30,.893,123,5,240,Denver Nuggets
.539,.625,30,7,7,4,30,.781,117,11,240,Utah Jazz
.453,.389,19,20,6,8,33,.867,101,9,240,New York Knicks
.452,.333,25,15,7,9,39,.794,97,8,240,Atlanta Hawks
.437,.381,21,18,10,11,37,.821,93,15,240,Boston Celtics
.477,.588,28,15,11,17,36,.778,113,11,240,Chicago Bulls
.500,.538,24,18,5,8,32,.821,103,7,240,Dallas Mavericks
.629,.643,22,18,9,4,28,.793,120,9,240,Toronto Raptors
.488,.462,20,15,5,10,38,.870,110,4,240,Houston Rockets
.418,.364,20,17,3,9,22,.778,84,16,240,Memphis Grizzlies
.519,.500,22,14,8,11,45,.625,104,7,240,Miami Heat
.480,.261,17,9,2,11,43,.615,94,3,240,Orlando Magic
.415,.438,20,13,7,9,33,.828,99,10,240,Los Angeles Lakers
.523,.433,30,6,7,8,25,.923,129,6,240,New York Knicks
.532,.368,25,12,5,9,35,.708,106,12,240,Oklahoma City Thunder
.429,.412,24,14,4,6,43,.682,88,5,240,Philadelphia 76ers
.432,.529,20,14,5,15,32,.846,95,9,240,San Antonio Spurs
.468,.444,28,13,5,9,39,.500,92,9,240,Chicago Bulls
.476,.692,23,11,3,11,29,.700,103,7,240,Milwaukee Bucks
.383,.429,15,14,5,17,33,.692,86,11,240,Memphis Grizzlies
.443,.286,17,6,9,8,28,.789,96,6,240,Miami Heat
.494,.353,26,16,8,10,30,.828,108,12,240,Utah Jazz
.520,.167,24,15,13,11,32,.621,97,11,240,Charlotte Bobcats
.538,.423,24,14,2,7,33,.737,111,5,240,Denver Nuggets
.474,.455,26,12,6,10,33,.905,103,9,240,Detroit Pistons
.506,.500,21,17,3,12,31,.613,108,9,240,Golden State Warriors
.500,.435,31,11,4,14,28,.762,118,11,240,Houston Rockets
.405,.375,20,12,4,5,31,.842,82,3,240,Philadelphia 76ers
.453,.286,23,10,3,12,33,.725,103,7,240,Los Angeles Lakers
.541,.188,20,11,4,5,31,.952,103,7,240,Dallas Mavericks
.512,.471,25,8,5,12,39,.708,109,2,240,Los Angeles Lakers
.524,.267,30,11,6,6,33,.793,113,12,240,Memphis Grizzlies
.457,.435,17,13,8,9,36,.659,101,4,240,Miami Heat
.436,.364,25,11,6,13,30,.733,94,5,240,New Orleans Hornets
.523,.500,26,13,2,11,28,1.000,118,11,240,Boston Celtics
.577,.636,25,16,2,8,33,.966,117,7,240,Oklahoma City Thunder
.440,.353,22,3,9,16,25,.826,105,7,240,Philadelphia 76ers
.506,.556,32,16,2,14,32,.758,128,7,240,Phoenix Suns
.522,.375,24,17,10,3,36,.680,92,5,240,San Antonio Spurs
.531,.389,28,14,8,14,33,.708,110,7,240,Chicago Bulls
.530,.333,28,12,1,9,24,.727,102,12,240,Boston Celtics
.518,.346,26,9,7,8,34,.720,113,4,240,San Antonio Spurs
.405,.250,15,20,7,17,35,.745,97,5,240,New Jersey Nets
.462,.240,24,14,8,11,31,.923,90,4,240,Atlanta Hawks
.453,.444,27,9,4,11,43,.645,106,9,240,Dallas Mavericks
.568,.526,31,17,3,12,33,.538,109,9,240,Los Angeles Clippers
.481,.455,27,20,12,9,38,.833,103,7,240,Houston Rockets
.469,.409,20,17,11,7,42,.742,108,5,240,Indiana Pacers
.507,.313,23,16,7,13,40,.864,100,6,240,New Orleans Hornets
.549,.556,19,18,9,8,37,.722,113,10,240,Miami Heat
.481,.200,23,13,8,14,29,.636,102,8,240,Oklahoma City Thunder
.418,.200,22,14,2,9,38,.857,93,8,240,Los Angeles Lakers
.506,.333,23,17,11,12,25,.842,107,12,240,Portland Trail Blazers
.465,.389,26,9,4,11,32,.688,98,4,240,Toronto Raptors
.507,.471,20,14,4,9,29,.600,100,6,240,Los Angeles Clippers
.412,.370,28,13,7,13,43,.750,109,8,265,Cleveland Cavaliers
.453,.370,25,12,4,7,28,.818,115,7,240,Denver Nuggets
.422,.467,25,9,7,14,32,.692,95,8,240,Utah Jazz
.442,.273,18,12,6,7,32,.839,97,11,240,Philadelphia 76ers
.487,.400,24,13,0,11,29,.636,96,10,240,Portland Trail Blazers
.512,.435,31,14,6,9,32,.737,112,8,265,San Antonio Spurs
.431,.364,18,17,9,8,36,.781,95,8,240,Miami Heat
