twoperc,threeperc,assists,turno,blocks,orebounds,drebounds,ftPerc,points,steals,minutes,nameteam,gameid
.449,.429,14,16,5,5,37,.679,90,6,240,Orlando Magic,52f2f65390a494841832881d
.461,.458,22,11,6,11,21,.843,124,13,240,New York Knicks,52f2f65390a494841832881e
.475,.091,17,12,5,14,33,.741,97,2,240,Memphis Grizzlies,52f2f65490a494841832881f
.370,.571,16,14,3,7,36,.800,82,9,240,Oklahoma City Thunder,52f2f65590a4948418328820
.480,.526,26,18,6,6,32,1.000,103,10,240,Utah Jazz,52f2f65590a4948418328821
.531,.480,32,9,5,6,32,.818,116,10,240,San Antonio Spurs,52f2f65690a4948418328822
.489,.467,23,9,4,15,29,.643,115,5,265,Detroit Pistons,52f2f65790a4948418328823
.557,.409,32,18,11,14,32,.800,117,10,240,Los Angeles Lakers,52f2f65890a4948418328824
.322,.333,20,15,6,15,34,.938,75,10,240,New Orleans Hornets,52f2f65890a4948418328825
.447,.267,16,10,1,10,31,.769,102,3,240,Toronto Raptors,52f2f65990a4948418328826
.533,.455,26,15,6,10,40,.778,99,5,240,Boston Celtics,52f2f65a90a4948418328827
.467,.571,24,17,2,10,37,.923,106,6,240,Denver Nuggets,52f2f65b90a4948418328828
.538,.538,21,12,5,6,27,.842,123,5,240,Phoenix Suns,52f2f65b90a4948418328829
.507,.316,26,12,5,12,31,.500,99,7,240,Los Angeles Clippers,52f2f65c90a494841832882a
.411,.348,26,13,2,12,36,.846,93,9,240,Indiana Pacers,52f2f65d90a494841832882b
.548,.385,29,15,6,5,33,.800,117,11,240,Oklahoma City Thunder,52f2f65d90a494841832882c
.494,.632,25,9,3,3,28,.783,106,7,240,San Antonio Spurs,52f2f65e90a494841832882d
.447,.333,20,7,9,9,30,.697,94,9,240,Utah Jazz,52f2f65f90a494841832882e
.385,.300,21,8,7,10,32,.815,88,7,240,Dallas Mavericks,52f2f66090a494841832882f
.438,.444,21,13,6,7,37,.857,100,7,240,Indiana Pacers,52f2f66090a4948418328830
